"","x"
"1",0.888397797705957
"2",0.970839628417118
"3",0.55089466575115
"4",0.0460736203877227
"5",0.00350117669539596
"6",0.888996125494587
"7",0.266285563486827
"8",0.0512622713167561
"9",0.00490746638096163
"10",0.00943647287942795
"11",0.986455037889593
"12",0.99408576968208
"13",0.0574427096207331
"14",0.443004299819442
"15",0.988950932533463
"16",0.00333421980420611
"17",0.00199556446114748
"18",0.00174142401809663
"19",0.948732302479438
"20",0.751875937701053
"21",0.00264356128236205
"22",0.901110641282602
"23",0.970132159857959
"24",0.154441749796641
"25",0.940923587027881
"26",0.0126217293300466
"27",0.0378100881900022
"28",0.301708056911812
"29",0.0105988431012636
"30",0.00862542812458799
"31",0.257000088666692
"32",0.961730897105093
"33",0.0370437573297106
"34",0.0453910097041224
"35",0.00529610461026503
"36",0.011416294731815
"37",0.0250585919255777
"38",0.00983992035705104
"39",0.0153601174428859
"40",0.00474303366925512
"41",0.045235037429504
"42",0.970495230378173
"43",0.458239668904972
"44",0.00219203760617538
"45",0.953862151371563
"46",0.00901089652127955
"47",0.0647547122237832
"48",0.0121097644117602
"49",0.938738001286124
"50",0.0123816305433633
"51",0.00352147034286857
"52",0.0376410147673057
"53",0.0169070886785741
"54",0.050412760429901
"55",0.00525297565774598
"56",0.0088440748811847
"57",0.0113046834006799
"58",0.0562932737903104
"59",0.0280357641034505
"60",0.0181737854682416
"61",0.128553930129269
"62",0.0139547566483069
"63",0.0356929667897628
"64",0.00671593154211768
"65",0.90366337532341
"66",0.969457308017954
"67",0.0199863162870024
"68",0.103757765752605
"69",0.00885083224484979
"70",0.0867445788137735
"71",0.599907528058956
"72",0.00353630847449509
"73",0.0173718311086067
"74",0.914691853168684
"75",0.304945512932801
"76",0.996211936575299
"77",0.235138632653018
"78",0.916532208788285
"79",0.00800155731084715
"80",0.0124613519933111
"81",0.00454852339635627
"82",0.0251718943963607
"83",0.163467396620896
"84",0.0459222213070126
"85",0.107571607796383
"86",0.0547567825608963
"87",0.0444867975132386
"88",0.00570358335445548
"89",0.0549678173049526
"90",0.149890540569718
"91",0.169940745731097
"92",0.0110751753261458
"93",0.36030153269889
"94",0.313057325757189
"95",0.0116668768148546
"96",0.0138406209279747
"97",0.951173261754045
"98",0.297479934622227
"99",0.813548553820593
"100",0.392392240018619
"101",0.915765056551499
"102",0.00721340591294378
"103",0.000960746515562583
"104",0.00187467682944092
"105",0.178100111093746
"106",0.00281151835505606
"107",0.00636947852204142
"108",0.121500975919071
"109",0.0219143530553368
"110",0.971497999950632
"111",0.0216336479148851
"112",0.00152655063481898
"113",0.0453112640314785
"114",0.010689621234607
"115",0.000810152914992891
"116",0.0310679703423123
"117",0.0214394359245453
"118",0.00206461213061068
"119",0.02515666412021
"120",0.00513552881825724
"121",0.0247189097271504
"122",0.0038921795885176
"123",0.00519691287009782
"124",0.00339858910374152
"125",0.0194866392019367
"126",0.00392723981288421
"127",0.0164791646777269
"128",0.657932193990974
"129",0.0345612281645831
"130",0.000861520884281647
"131",0.000503265127074199
"132",0.0170185968714867
"133",0.00216460286101225
"134",0.0849924857333045
"135",0.0264339295746454
"136",0.00529668997233938
"137",0.0787054866522387
"138",0.0209139337543665
"139",0.00877871854959306
"140",0.000260746495496899
"141",0.000594990875216143
"142",0.00695412951004021
"143",0.00264023489677693
"144",0.00762791681706355
"145",0.00747156289540959
"146",0.0158659863328253
"147",0.0248216178259859
"148",0.00522300845526006
"149",0.000651635679985668
"150",0.00712542268881307
"151",0.00142611763899383
"152",0.00335798035126509
"153",0.0329241231046955
"154",0.682649198136036
"155",0.0358366341267299
"156",0.00417391711432849
"157",0.897598662994317
"158",0.0151356703090994
"159",0.577558659690107
"160",0.488149610602644
"161",0.0932916468129721
"162",0.262843418607612
"163",0.00296860760749398
"164",0.981968378127414
"165",0.0830064319211303
"166",0.453382673507812
"167",0.913806520418078
"168",0.444382784743721
"169",0.951988759977786
"170",0.0331535404552535
"171",0.396262656732091
"172",0.0131551486649998
"173",0.744657872529998
"174",0.561837754633132
"175",0.00569590422743745
"176",0.858717612444709
"177",0.311111780140864
"178",0.0876332510668934
"179",0.188680361329104
"180",0.706573521836506
"181",0.996188462299234
"182",0.263629901382312
"183",0.730317260588863
"184",0.958803870019774
"185",0.950877408121331
"186",0.953788172036789
"187",0.32738642700973
"188",0.07848876222668
"189",0.0210337950117444
"190",0.218118638257099
"191",0.0140855699069113
"192",0.902672072864966
"193",0.404671531834642
"194",0.487961647657476
"195",0.165877725792413
"196",0.00295377981122932
"197",0.771373327812964
"198",0.0061389955697993
"199",0.973694456779951
"200",0.0108496254986203
"201",0.147067752967534
"202",0.736235811479391
"203",0.433671809449192
"204",0.151424085274672
"205",0.984234642979832
"206",0.197372902193311
"207",0.00826193407039621
"208",0.243578149885996
"209",0.958466836730348
"210",0.00796204757513563
"211",0.0104317323535128
"212",0.987658463473142
"213",0.284716108453132
"214",0.99483034807134
"215",0.375797780079056
"216",0.610154978170507
"217",0.842325539621737
"218",0.509337094519546
"219",0.949715087640397
"220",0.00430621296405305
"221",0.994503702052974
"222",0.00309935936456262
"223",0.019836033473877
"224",0.57338290215723
"225",0.809604196324886
"226",0.00948830548872198
"227",0.00390124029013196
"228",0.0116581976509477
"229",0.259505990172653
"230",0.0105216642056195
"231",0.11238576732481
"232",0.0583520573930731
"233",0.0667079740216143
"234",0.268113458218645
"235",0.937674921531129
"236",0.156975771894141
"237",0.217532423193022
"238",0.0330484296495285
"239",0.00854186774168239
"240",0.00657182269858782
"241",0.0493038045729123
"242",0.00207120300117164
"243",0.00758230037553733
"244",0.0604004458518587
"245",0.417771967767938
"246",0.0168604899559218
"247",0.714226934770066
"248",0.655299190330139
"249",0.0219906374251198
"250",0.00486775240860472
"251",0.0260408702764234
"252",0.718440665064562
"253",0.0112356401045471
"254",0.0308254182033112
"255",0.775363080585563
"256",0.156338536941166
"257",0.0806906103117238
"258",0.714420159767636
"259",0.00250822065272038
"260",0.00494348248141155
"261",0.0186178292275648
"262",0.000780767266236313
"263",0.886874993059766
"264",0.192828418908805
"265",0.00372211884571198
"266",0.0102275278590445
"267",0.00274858556861037
"268",0.00135796150414957
"269",0.937930628469478
"270",0.0066177949691067
"271",0.648852897000609
"272",0.00533332862464838
"273",0.00124775571991471
"274",0.000999967042535142
"275",0.0332417424431253
"276",0.00886015847702695
"277",0.00179631265985559
"278",0.931495647334814
"279",0.997071405101546
"280",0.030985544031768
"281",0.994560345743296
"282",0.749413658854276
"283",0.864317897586842
"284",0.993207423762421
"285",0.993147508827757
"286",0.030630108096505
"287",0.954257309535897
"288",0.379424167467919
"289",0.465031262746514
"290",0.990668807000585
"291",0.91580481754837
"292",0.583928442133392
"293",0.00567254459250827
"294",0.477777837939693
"295",0.0211920046446433
"296",0.507262549487958
"297",0.1508452754054
"298",0.83762067301195
"299",0.00152655063481898
"300",0.474784340912399
"301",0.0660705091674731
"302",0.125179947326292
"303",0.0757633190029587
"304",0.0115215441437206
"305",0.856520479470759
"306",0.97747103541369
"307",0.985644249603168
"308",0.202295096521829
"309",0.483869749875205
"310",0.90603518060737
"311",0.00854540828932569
"312",0.0384403100862252
"313",0.460049333441065
"314",0.283651264949331
"315",0.994557252721418
"316",0.995148217443156
"317",0.960536496986204
"318",0.0236653457913599
"319",0.998201103703628
"320",0.986886954012066
"321",0.835737266115528
"322",0.950041676685235
"323",0.00900631189794648
"324",0.478246828383057
"325",0.918516763656939
"326",0.0015618390220807
"327",0.0029071457795078
"328",0.000461964954858855
"329",0.974395879396109
"330",0.0311438780074935
"331",0.115643820006527
"332",0.443743622287403
"333",0.101653133191802
"334",0.0060861117730856
"335",0.989469193068097
"336",0.227661422953216
"337",0.0315125421875248
"338",0.00526915629978099
"339",0.0112356401045471
"340",0.0473631349228803
"341",0.726878523735303
"342",0.627104862374651
"343",0.00498875497714892
"344",0.0535179572266071
"345",0.721963124654039
"346",0.925448458974118
"347",0.00368771664877959
"348",0.000857994207265676
"349",0.828872806373905
"350",0.00823004558561909
"351",0.856988130996522
"352",0.00273967836604832
"353",0.000805302705031148
"354",0.00835724721643597
"355",0.0127646474807651
"356",0.0109836583079054
"357",0.0418344091334533
"358",0.00763210655312229
"359",0.482820314794661
"360",0.138081901838935
"361",0.0147965489780063
"362",0.00280537874661763
"363",0.388953305992777
"364",0.0729442639239236
"365",0.253292184456363
"366",0.135400391181752
"367",0.00500933712490145
"368",0.121033503639491
"369",0.983367826586309
"370",0.00497204743496971
"371",0.00190420014949545
"372",6.0582305651721e-05
"373",0.0142160779802645
"374",0.0172676369815329
"375",0.933609960540836
"376",0.997891087259664
"377",0.674181268999259
"378",0.748481508732353
"379",0.301528202732957
"380",0.680320191945697
"381",0.0240091033244505
"382",0.998143222240112
"383",0.872564584449782
"384",0.245218783805974
"385",0.570773051595948
"386",0.183471068374945
"387",0.737246451815616
"388",0.95937171660615
"389",0.074383957627554
"390",0.980651476964695
"391",0.547150216645729
"392",0.958992448119789
"393",0.0150006114925991
"394",0.000958567299982814
"395",0.0200185207574336
"396",0.000893423468560428
"397",0.0633572360879627
"398",0.014002552650901
"399",0.000848410873320208
"400",0.552358660748602
"401",0.986668384188256
"402",0.237827392211142
"403",0.0071041705245149
"404",0.00131014384096778
"405",0.00101160982033721
"406",0.0472447184724983
"407",0.00410444402202537
"408",0.0607615021356904
"409",0.016800838470622
"410",0.914691853168684
"411",0.129798637493158
"412",0.193834966358561
"413",0.00722628066124662
"414",0.348102458420243
"415",0.00233866046142066
"416",0.63319593014905
"417",0.429401769060584
"418",0.0894529343155376
"419",0.00602598113455829
"420",0.844553094355902
"421",0.122047570821877
"422",0.00171820030495194
"423",0.0187227307532613
"424",0.294856007787799
"425",0.180179765476891
"426",0.946805605032683
"427",0.393980113689004
"428",0.00349909533511419
"429",0.147204375162254
"430",0.947903764120543
"431",0.00490614306916147
"432",0.255930338931747
"433",0.151169224104373
"434",0.00592300916244028
"435",0.534742357393892
"436",0.33787365500784
"437",0.912795070212372
"438",0.710106986759618
"439",0.895239396997409
"440",0.00400364487316184
"441",0.00372151504382531
"442",0.335035046900218
"443",0.00234284924623498
"444",0.992359974772848
"445",0.000922794526795921
"446",0.890946837237596
"447",0.950322497732754
"448",0.00213421806578701
"449",0.00909133228290282
"450",0.0136335699841293
"451",0.00980947037094535
"452",0.00671286804674503
"453",0.997292407544125
"454",0.0129458161027194
"455",0.00051289052865744
"456",0.0258107007207033
"457",0.0133110298907394
"458",0.916292014806913
"459",0.10207315423568
"460",0.0429414607855444
"461",0.645518312653502
"462",0.395468306406755
"463",0.464424343896043
"464",0.951151834424996
"465",0.72914017136728
"466",0.99193865309184
"467",0.109847045158682
"468",0.00561819266686534
"469",0.129403951324624
"470",0.865177343909825
"471",0.483059683494744
"472",0.263477021130118
"473",0.313279412668123
"474",0.0487298675677059
"475",0.488441823630764
"476",0.997101170756388
"477",0.822040942864818
"478",0.00768035147528481
"479",0.0106289665102386
"480",0.0246589749138668
"481",0.422707385251637
"482",0.0533791686682593
"483",0.040180731015975
"484",0.286442438604694
"485",0.570422629724491
"486",0.0333205029317202
"487",0.00186951481683652
"488",0.0020559084087806
"489",0.00376311474832882
"490",0.0148348027067466
"491",0.0054509058453742
"492",0.00223515925228394
"493",0.0104042288571895
"494",0.00382073342675639
"495",0.00765285294786278
"496",0.0104124996011774
"497",0.00262232897541002
"498",0.0019776187242084
"499",0.00505869594473101
"500",0.0475657141659846
"501",0.000852976842619013
"502",0.961494372982763
"503",0.229284111177784
"504",0.192654190686882
"505",0.971849673444752
"506",0.839529115931429
"507",0.984475206217126
"508",0.987217104055853
"509",0.173374215661346
"510",0.496984453004797
"511",0.988983970312242
"512",0.00947301541517784
"513",0.783724493740139
"514",0.254189953105982
"515",0.0299839171059811
"516",0.00696831338887199
"517",0.0137385663979989
"518",0.00750452716118174
"519",0.425285505021928
"520",0.903407890759812
"521",0.108297319598223
"522",0.0120379717052358
"523",0.0554795006064647
"524",0.00636450446787537
"525",0.805337809123775
"526",0.993375468553172
"527",0.950523403330216
"528",0.959407489619859
"529",0.534659221042109
"530",0.154733055448783
"531",0.390318792470353
"532",0.981929050242312
"533",0.937142822880699
"534",0.0291478503765931
"535",0.00235549074586259
"536",0.013051550618065
"537",0.00462098124607845
"538",0.0861167646112281
"539",0.013780294963533
"540",0.606744820986437
"541",0.42421014689908
"542",0.0119715029795837
"543",0.0176918567301882
"544",0.0190055965808415
"545",0.127331549711987
"546",0.000926804629599361
"547",0.0746072406596635
"548",0.00778390183082842
"549",0.939850436228923
"550",0.00722254073561771
"551",0.0354744942148446
"552",0.0538608373787034
"553",0.0397846083182466
"554",0.692477291737289
"555",0.00352631899483208
"556",0.359528932314067
"557",0.0117770638691823
"558",0.0775801458514654
"559",0.0544281836683325
"560",0.959004087612114
"561",0.0355870506345596
"562",0.789033400764322
"563",0.374771537093518
"564",0.968155289562371
"565",0.00516409835963779
"566",0.0184196554542714
"567",0.00394587707566135
"568",0.00137113248221933
"569",0.0331754820635055
"570",0.102633325521545
"571",0.36205232461514
"572",0.0200102860892624
"573",0.0456392930810225
"574",0.0775385852265679
"575",0.000943116417694167
"576",0.0304708133222308
"577",0.00152062527809456
"578",0.993268240110448
"579",0.966119089643853
"580",0.0437369620064487
"581",0.97628546402575
"582",0.0073834827364644
"583",0.00287887809489315
"584",0.00205511968317659
"585",0.386999806261019
"586",0.371855859970798
"587",0.880472298333674
"588",0.0108931843993994
"589",0.171309472234821
"590",0.727876305608864
"591",0.0367481962642144
"592",0.00551649429944292
"593",0.00261938031066786
"594",0.159831180981087
"595",0.00830438514706361
"596",0.00626146857149457
"597",0.0160488202832445
"598",0.0393267881486421
"599",0.00644550350511872
"600",0.0119402363382787
"601",0.00416884113787835
"602",0.00867489597310145
"603",0.0033904051316826
"604",0.0326616841075278
"605",0.000656239962720792
"606",0.00589272030780439
"607",0.00412141106136898
"608",0.0428571402821412
"609",0.000488501600360574
"610",0.460049333441065
"611",0.000739495073861886
"612",0.00465763661704919
"613",0.816611920829903
"614",0.015484888696114
"615",0.103980206037875
"616",0.0147916972399951
"617",0.19758042170897
"618",0.123590395236982
"619",0.0636565914015437
"620",0.120430558424607
"621",0.553466501800355
"622",0.805134826090711
"623",0.367420357205866
"624",0.806786343917544
"625",0.997762477247487
"626",0.0727517541887739
"627",0.00276167105919075
"628",0.00663507504203806
"629",0.00962738070549989
"630",0.854215652354105
"631",0.00580277233111746
"632",0.0209635351314001
"633",0.014105708123163
"634",0.00415913764885027
"635",0.00365641762841285
"636",0.0133726037527262
"637",0.967016210133284
"638",0.662513296780496
"639",0.210810884738467
"640",0.772326847526434
"641",0.340577996696765
"642",0.884105340913147
"643",0.471895759018878
"644",0.723427724260983
"645",0.00600676174015652
"646",0.0166576417030839
"647",0.100988321530744
"648",0.990116845672611
"649",0.00269277659864196
"650",0.0106929479947867
"651",0.00243965070474159
"652",0.00458491185720876
"653",0.00244902244343961
"654",0.00238608313203462
"655",0.00109265402845395
"656",0.0131145827711027
"657",0.0125711386725449
"658",0.00433467875000674
"659",0.521018432944962
"660",0.0683022397753732
"661",0.00817377395215016
"662",0.446666162324221
"663",0.00751637934469365
"664",0.772837543991083
"665",0.00552067162353238
"666",0.844655208400317
"667",0.00779101829515836
"668",0.623040287382683
"669",0.00246498719244842
"670",0.0287127112097417
"671",0.0433232252342174
"672",0.976405173577376
"673",0.965083413915593
"674",0.0174056135981492
"675",0.128397202020657
"676",0.00605595061588418
"677",0.979849150561755
"678",0.624635385247491
"679",0.708482843106787
"680",0.690708149768133
"681",0.0881620833853255
"682",0.00491776206989595
"683",0.82984238940595
"684",0.155071664569655
"685",0.00372844463467888
"686",0.00486015744243193
"687",0.449938377036487
"688",0.673295247345672
"689",0.984071881437755
"690",0.0165099234146998
"691",0.912795070212372
"692",0.2214726655052
"693",0.0141806915855976
"694",0.0124921698116662
"695",0.570167867116613
"696",0.972952270937907
"697",0.120569571817433
"698",0.00780451535983777
"699",0.939169707246234
"700",0.0200341974698755
"701",0.996316674171912
"702",0.705270405300119
"703",0.995094616202288
"704",0.0124747775184479
"705",0.000830153074360422
"706",0.169399260540921
"707",0.996371637544336
"708",0.388497076052396
"709",0.0160488202832445
"710",0.59322629028212
"711",0.618669627839565
"712",0.0318918288848609
"713",0.0124030024150074
"714",0.886668502205047
"715",0.119084776389811
"716",0.219550953225643
"717",0.0260947481772874
"718",0.465525304028564
"719",0.365119152838094
"720",0.247003853592921
"721",0.108840022329019
"722",0.0160582467753238
"723",0.415863493810028
"724",0.631298437169602
"725",0.217733956666297
"726",0.381909776089653
"727",0.00330599267948359
"728",0.984918057909455
"729",0.998586589881344
"730",0.532502277462695
"731",0.00887805574064618
"732",0.37862960313536
"733",0.970478843066235
"734",0.378615865407378
"735",0.383143424401592
"736",0.0932225588535757
"737",0.0683681190139996
"738",0.00713741213980907
"739",0.00531650138701205
"740",0.9354801217651
"741",0.805509140677458
"742",0.924427040135892
"743",0.0556754515375641
"744",0.872574851990157
"745",0.00829504320497611
"746",0.233646057167816
"747",0.0276320413340876
"748",0.442097829730195
"749",0.0663762277067753
"750",0.0824580684422013
"751",0.0446802669241226
"752",0.0577693309574426
"753",0.137397015904323
"754",0.0162131335738822
"755",0.40576749065868
"756",0.0770753835418785
"757",0.138680678313909
"758",0.00757680056518175
"759",0.00353578422614594
"760",0.00235326375385461
"761",0.42446473057024
"762",0.0017801918634347
"763",0.0193244730774984
"764",0.0784869049707692
"765",0.0101980620829223
"766",0.0174527128230277
"767",0.0252681818184256
"768",0.921327872652427
"769",0.00650194937345187
"770",0.00336983501837458
"771",0.0111263917975914
"772",0.00238411522886328
"773",0.0111951860741899
"774",0.000362159210589903
"775",0.0115291336835783
"776",0.000944675926133605
"777",0.0131832456627627
"778",0.00908235692013655
"779",0.0110822776199055
"780",0.00299124184309301
"781",0.850758842835389
"782",0.0363109098250789
"783",0.0512318862304875
"784",0.615949408868572
"785",0.967921374746446
"786",0.00113221452182087
"787",0.00691045025602643
"788",0.645931512405771
"789",0.0831644622405354
"790",0.939622366429573
"791",0.00129673866944756
"792",0.126662332147398
"793",0.00287933719274329
"794",0.0214332218901092
"795",0.00708678699111872
"796",0.00355644459855547
"797",0.039348967107096
"798",0.0153265740326285
"799",0.0102321831995135
"800",0.0264835475083764
"801",0.00883421569211094
"802",0.0089716863204223
"803",0.00378060996941286
"804",0.0441863871551343
"805",0.0358317613377672
"806",0.00931391891227706
"807",0.0639609585194904
"808",0.168404619575775
"809",0.290401203157924
"810",0.0457840423232017
"811",0.0243974884897551
"812",0.036758711479607
"813",0.0255848730435289
"814",0.0669991498893376
"815",0.0136176954164514
"816",0.00648780664996845
"817",0.00125071102396829
"818",0.00184071815174991
"819",0.00217976896731845
"820",0.000258578907208469
"821",0.060264314528918
"822",0.000901450074010782
"823",0.0167183966817074
"824",0.00748587521356776
"825",0.0053296989221454
"826",0.00241215847657544
"827",0.00366516867165539
"828",0.00389879697686404
"829",0.00366079753450697
"830",0.00405330467301609
"831",0.00337745697985537
"832",0.00660774297996945
"833",0.0062951514259561
"834",0.351964504086404
"835",0.187016404353825
"836",0.0216430664003213
"837",0.200067954889886
"838",0.159160556128741
"839",0.00264190374995871
"840",0.00508143495512877
"841",0.310852493785245
"842",0.0368845328322241
"843",0.015184271923239
"844",0.957267015671384
"845",0.00752177413189247
"846",0.0307045234113254
"847",0.00207726234133612
"848",0.0522326850103214
"849",0.0103327734853825
"850",0.0493175855958245
"851",0.957333321690365
"852",0.0574561323074895
"853",0.902406649612448
"854",0.574128732366733
"855",0.0677000690102581
"856",0.963989572134157
"857",0.564741375063503
"858",0.00749380650235371
"859",0.0021516211307296
"860",0.111014707247399
"861",0.0430387650978096
"862",0.00467972674539611
"863",0.721533568178221
"864",0.945386215344721
"865",0.0198252053416791
"866",0.0102167229720077
"867",0.00431468025518282
"868",0.259220160991139
"869",0.0124531010747205
"870",0.0795346815729364
"871",0.469029550319351
"872",0.00280093531506229
"873",0.00201503457623471
"874",0.00128416258287756
"875",0.0654648669346213
"876",0.00221389108343583
"877",0.977838501316612
"878",0.0012509363229967
"879",0.00831387444986181
"880",0.00623878337911895
"881",0.0554795006064647
"882",0.00541216745325595
"883",0.0105663265686699
"884",0.0687444436540573
"885",0.685726492171164
"886",0.0636563110521954
"887",0.253524708590385
"888",0.0151349782539393
"889",0.67174490683904
"890",0.225616542034071
"891",0.0139769159457673
"892",0.752531506146506
"893",0.948168968078381
"894",0.00994524971271404
"895",0.393736411230293
"896",0.00433271876924255
"897",0.870042258602323
"898",0.00109894210690398
"899",0.756524772953629
"900",0.0119171057722064
"901",0.27789733957579
"902",0.2194027678828
"903",0.774263042501342
"904",0.0214568360675358
"905",0.230281510397529
"906",0.0142231225590557
"907",0.210611716144739
"908",0.0317205206994395
"909",0.759440888753137
"910",0.0100056096590743
"911",0.0149687023139307
